ORIGINAL_TITLE,PLOT
Napoleon's Legendary Spy,"Karl Ludwig Schulmeister, a true supporter of the emperor - a real Bonapartist - was a minister's son with a longstanding career as smuggler. He wore a uniform but was responsible for conquering cities and spearheading a battle that led to the destruction of the Roman Empire. He was acting chief policeman in Königsberg and Vienna, even while being hunted for under his various aliases - his tricks and skills in the art of disguise were legendary. But controversy circles his story - was he a national hero or a traitor? The story of ""Monsieur Charles"" - Napoleon's Legendary Spy."
"The Strange History of Don't Ask, Don't Tell","The strange history of the now abandoned American 1993-bill, «Don't ask, don't tell» where sexual orientation was a ""non-talk"" policy in the American forces, leading to 13.368 getting kicked out before 2011."
At Home on the Range,Jungle Jack saddles up for a farm fresh countdown with all sorts of barnyard animals.
Best of Wildlife,Hosts Jack Steward and Colton Smith relive some of their best wildlife encounters in the nation's national parks.
Knuckleball!,A documentary that showcases baseball's most unpredictable pitch.
A Super Jumbo Wing,"It's often said that no matter what else is done and what innovations are introduced, the wing defines the aircraft. The A380 wing is the largest ever produced for a civil airliner, at 17.7 meters from front to back and 36.3 meters from the fuselage to wingtip."
Judas,"Tells the story of the gospel of Judas, both the manuscript and the story, inter-cut with scenes depicting the events of the gospel."
The Dead Sea: Salt of the Earth,"The Wonder List visits Jordan and Israel to examine the Dead Sea's decline, and meets the people battling to save it."
When Women Kill,"The vast majority of murders are committed by men: Only 11% of convicted murderers are women. What accounts for this gender divide? Is there something innate and deep in our natures that allows us to kill, or are we products of circumstance? And what should we make of women who break the mold - and commit the worst of all crimes? Lisa will meet women convicted of murder, from a new mother who suffocated her infant daughter to a survivor of domestic violence who killed her abuser. Over the course of the hour, Lisa will come to see how female murderers are different from the sensationalized ""black widow"" ""scorned lover"" or ""gold digger"" personas we see portrayed by the media. And through that journey, she may discover that the people society deems most evil are in fact not that different from the rest of us."
The Colorado River: A Thirst for More,Receding waters and population hikes begin to question the sustainability of the Colorado River.
Across Continents,"Never in the history of humanity have so many of us been mobile, never has our demand for fast, efficient and safe transportation been so high, and never have we relied so heavily on technology to deliver. New innovations propel us into the world of self-driving cars and high-speed trains."
Mommy Dead and Dearest,"In this documentary, the murder of Deedee Blanchard by her daughter Gypsy Rose is explored, as well as the circumstances leading up to the event."
Episode 3,"Lee recounts the construction of the World Trade Center in the 1970s and how the bombing in 1993 foreshadowed the events of September 11. Survivors and frontline workers who rushed to the scene weave a vivid picture of the attacks as they unfold, including the boat captains who ferried thousands of New Yorkers to safety from the southern tip of Manhattan."
Hate on Trial,Tiger is pressured and agrees to go on the stand. Henry is arrested and goes on trail.
The Iceman Confesses: Secrets of a Mafia Hitman,"Richard Kuklinski was a devoted husband, a loving father...and a ruthless killer. A decade after HBO last visited him in prison, the convicted murderer, who freely admits having whacked more than 100 people in cold blood, takes viewers back inside his cold, calculating mind. In this follow-up to America Undercover's 1992 film The Iceman Tapes: Conversations with a Killer, Kuklinski provides all-new insights about his exploits as one of the Mafia's most notorious assassins...and reveals some shocking confessions for a number of previously unsolved murders."
Capturing the Friedmans,"Documentary on the Friedmans, a seemingly typical, upper-middle-class Jewish family whose world is instantly transformed when the father and his youngest son are arrested and charged with shocking and horrible crimes."
Sermon on the Mount,Jerrod Carmichael explores aspects of the black experience through interviews.
Trip Through Ukraine In Compact Hatchbacks,"Jeremy Clarkson, Richard Hammond and James May goes on a road-trip through Ukraine to show that small city cars are indeed fun to drive, Jaremy test a Danish supercar and musician James Blunt is the star in the Reasonably Priced Car."
Have You Seen Andy?,"""Have You Seen Andy?"" is the personal story of a childhood friendship abruptly ended by the tragic abduction of a young boy. On a hot summer day in August 1976, ten year-old Andy Puglisi was playing along with dozens of other children at the Higgins Memorial Pool in Lawrence, Massachusetts. Then suddenly, he disappeared. Twenty-two years later, filmmaker Melanie Perkins, Andy's childhood friend, begins her search for answers in this feature-length documentary. 2008 Emmy Award Winner - Best Investigative Journalism."
Episode #1.1,"1. Donald Trump, Jr. and Kimberly Guilfoyle at a Ted Cruz rally. 2. The way Trump chooses his cabinet. 3. What it's like to negotiate with Trump. 4. Poll on women popularity versus Trump. 5. Trump interview. Trump tells his sharpie story."
Land of a Thousand Lakes,"In the heart of Berry, France, both inland lakes and fens harbor a wide variety of birds and mammals. These mysterious, ancient landscapes are home to some highly unusual wildlife that inhabit both water and land, like the European pond turtle."
Miss You Can Do It,"Miss You Can Do It chronicles Abbey Curran, Miss Iowa USA 2008 and the first woman with a disability to compete at the Miss USA Pageant, and eight girls with various physical and intellectual disabilities as the girls participate in the Miss You Can Do It Pageant. Abbey founded the annual Miss You Can Do It Pageant in 2004 and girls and their families travel from all around the country to participate in this one night where their inner beauty and abilities reign."
Shot Heard 'Round the World,Playoff game between New York Giants and the Brooklyn Dodgers.
Louis Theroux: Drinking to Oblivion,Louis Theroux traces the fortunes of different people living in South London suffering from alcoholism.
Episode #27.4,"Paddy and Freddie head to Borneo for a jungle adventure with the Gurkhas in a pair of very rare, very cheap old cars. Chris Harris tries out the world's most luxurious SUV, the Rolls-Royce Cullinan, while Bob Mortimer is the studio guest."
Back on Track,"The teams comes off an important win over rival Lakewood; Jeremiah Hollowell struggles with class work, prompting a visit from his mother; the team prepares for Millikan."
Seeing Is Believing,Jungle Jack counts down six stories about extraordinary creatures with absolutely incredible senses.
The Stolen Child,"A father in the midst of a custody battle over his son discovers a note announcing that the child's mother has vanished, taking their child with her; a young mother working as a custodian in an office complex is found raped and strangled."
Mississippi Gangland,"Lisa Ling explores the inner workings of Mississippi's fastest growing gang, the Simon City Royals, and how some members are walking away from the brotherhood and turning their lives around."
Oprah Winfrey Presents: After Neverland,Oprah Winfrey interviews the men who allege child sexual abuse by pop legend Michael Jackson in the documentary Leaving Neverland (2019) and she also interviews the director of the film.
Man's First Friend,"He has shared our lives for 20,000 years. Along the way, he has helped us find food, kept our livestock, protected us from our enemies, guided us in extreme conditions, and saved us from peril. Now, he comforts us, relieving loneliness and helping us cope with old age. How did dogs come about?"
Shenandoah: Climbing Virginia Rocks,"Jack and Colton take on Old Rag, one of the most dangerous trails in Shenandoah National Park, then belay each other 110-feet straight up a rock cliff."
Rome,"Stanley Tucci heads to Rome in search of the famous Four Pastas. Stanley orders rigatoni all'amatriciana, samples carbonara and tries a selection of cheeses and sausages made from the sheep and pigs farmed in the region."
Tuscany,"Stanley Tucci explores his former home: Tuscany. Stanley does a wine bar crawl, celebrates the importance of the lowly loaf and samples dishes which use stale bread as the key ingredient."
India,"Dr. Sanjay Gupta travels to India to find the connection between the reemergence of traditional Indian health techniques, Ayurveda and Yoga and his Western medical training."
The Final Days of Whitney Houston,A look at new details surrounding Whitney Houston's last days and her tumultuous relationship with Bobby Brown.
In Cold Blood (Ashley Humphrey),"Timothy ""Tracey"" Humphrey, and his wife Ashley Laney Humphrey, were arrested and then convicted of the July 05th, 2003, murder of bartender Sandra Lee ""Sandee"" Rozzo to avoid a criminal conviction for a trial that was set to start."
The Benzos Crisis,"Lisa Ling delves into the world of benzodiazepine use and uncovers the troubling threat these drugs pose when used long term, and the challenges facing patients as they try to quit."
Beah: A Black Woman Speaks,"A profile of the African-American actress Beah Richards, who was nominated for an Oscar for her performance in Guess Who's Coming to Dinner."
Sicily,"Parts Unknown explores the Sicilian way of life, which puts a premium on savoring family, life, and food. Bourdain travels in search of those foods as he eats his way around the island."
Heidi Fleiss: The Would-Be Madam of Crystal,"A look at the creation of former Hollywood madam Heidi Fleiss' latest venture, a Nevada-based male brothel called Heidi's Stud Farm, which caters to female clientèle."
41,"From running the country to skydiving, this endearing and enlightening portrait explores the life and careers of George H.W. Bush, the 41st President of the United States."
Taking The Bentley Continental GT Speed To A Welsh Rally Stage - Building A Car Smaller Than A Peel P50: Clarkson's P45,"In this first episode, Jeremy attempts to build a car that's even smaller than the famous Peel P50 and then tests it out on the streets of London. Meanwhile, James is testing the latest Bentley Continental GT Speed by taking it on a rally stage. As if that wasn't enough, Homeland star Damian Lewis is the star in the Reasonably Priced Car."
Ernie & Joe: Crisis Cops,A pair of officers with the San Antonio Police Department mental health unit work to divert people away from jail and into mental health treatment.
Toxic America,"Kamau visits Philadelphia and Chester, Pennsylvania to learn about the toxic man-made disasters that have polluted these communities for generations."
Brillo Box (3 ¢ off),"'Brillo Box (3¢ off)' follows a beloved Andy Warhol Brillo Box sculpture as it makes its way from a family's living room to a record-breaking Christie's auction, blending personal narrative with pop culture, and exploring how we navigate the ephemeral nature of art and value."
One Nation Under Stress,""One Nation Under Stress"" follows Sanjay Gupta as he tries to uncover the root causes of why American life expectancy is falling and is now shorter than all other major developed countries.
Take My Baby,"Louis explores open adoption in California, where women hand over their babies at birth to adoptive families paying tens of thousands of dollars for the privilege."
Safety Problems,"[HBO] HD. 'Safety Problems.' (Season Two) Wyatt explores the role of facial-recognition software in surveillance, and more."
"Carthage, il ne peut en rester qu'une","In 814 BC, the exiled Phoenician queen Dido founds the city of Carthage on the African Coast. The city develops and takes the lead of a maritime empire based on trade. Carthage dominates the Western Mediterranean. But in the third century BC, she finds herself opposed to the Roman Republic."
Bringing Up Babies,"Host Jeff Corwin gets an up-close look at many amazing youngsters who grow up living in or near the ocean. Jeff travels to Alaska for to see a baby walrus, stops by Chicago's famous Shedd Aquarium for a rare look at a baby Beluga whale and baby dolphin, and even helps welcome baby penguins in to the world at Georgia Aquarium."
Part 1: From Bullion to Bubble,Economist and historian Niall Ferguson takes a global loo.
The Bright Colors of Fascism,"In the series finale, ""The Bright Colors of Facism,"" Peck explores the challenge of reconciling America's true history with its ideals of freedom and democracy, pointing to the struggle for native representation and the legacy of slavery in institutionalized racism today. Reflecting on his time in Berlin, Peck links the modern resurgence of white nationalism with fascism, slavery, colonialism, and Nazism."
Caught on Tape,A Spaniard is sentenced to death for the murder of a young Florida couple. His family appeals to the international media to fight his conviction.
Zoey,15: A Quinceanera Story: Zoey
The Times They Are A-Changin',"The 60's were a time of great change. Civil Rights, environmental concerns, premarital sex, birth control and the women's movement are just some of the issues that filled the minds and hearts of Americans during the decade."
Episode #28.4,"Freddie and Chris tackle the toughest off-road race on the planet: the brutal Baja 1000. Out on the track, there is a showdown between a Renault hot hatch, a Porsche sports car - and an old Lamborghini. Laurence and Emilia Fox are the studio guests."
Joe & Caspar Hit the Road USA,YouTube pranksters Joe Sugg and Caspar Lee embark on a hilarious and adventurous road trip across the United States.
Buzz,"Pulitzer prize-winning reporter and author, Buzz Bissinger, experiences a sexual awakening while collaborating with Caitlyn Jenner on her tell-all memoir."
Mavis!,"Her family group, the Staple Singers, inspired millions and helped propel the civil rights movement with their music. After 60 years of performing, legendary singer Mavis Staples' message of love and equality is needed now more than ever."
There's No Tomorrow,The Jackrabbits fall to Mater Dei in the first round of the playoffs; Dabness Atkins commits to the Air Force Academy; Jeremiah Hollowell gets another chance to impress scouts; and the community honors the senior players.
Storm Clouds,"Tensions boil over in a deeply divided nation, as President Richard Nixon commits to victory in Vietnam and grows increasingly paranoid about political enemies during his first term in office."
The Legend of Camelot,"Numbed by grief after the assassination of her husband, Jackie crafts JFK's legacy, while Bobby becomes a champion of the dispossessed and the family's next great political hope."
Episode #15.9,"HD. Guests: Matt Schlapp, Timothy Snyder, Max Brooks, Chris Hayes, Louise Mensch."
On the Rocks,A young woman's naked body is discovered in a remote area leading forensic investigators on a search for clues to her identity and the identity of her killer.
Episode #29.2,"Freddie, Chris and Paddy tackle a monstrous wall of death in some very cheap insurance write-offs. The trio also take a Yorkshire road trip in classic supercars, and Freddie attempts to hit 200mph in an old Jaguar."
The Producer,"Rich McHugh discusses producing the story with Farrow at NBC News, interviewing sources on camera, and his dawning realization that the reporting was being shut down behind the scenes."
Sri Lanka,"As peace and hope spread throughout Sri Lanka following the end of its brutal civil war, Bourdain travels to the once divided regions to experience the reinvigorated people, savory food and vast landscapes."
The Mediums of Lily Dale,"Lisa Ling travels to the Lily Dale Assembly, a cozy lakeside village in upstate New York, that is a community of mediums."
The Murder of John Lennon,Crimes of the Century revisits the shocking 1980 murder of former Beatle John Lennon who was shot repeatedly in the back by assassin Mark David Chapman as he was returning to his apartment. Chapman surrenders to the police and is eventually sent to prison for life.
Natalie Wood: What Remains Behind,"Exploring Natalie Wood's life and career through the unique perspective of her daughter, Natasha Gregson Wagner, and others who knew her best."
Tribute To Swedish Car Maker Saab - Rally-Spec Skoda Vs Jet-Powered Flying Man,"Jeremy Clarkson and James May pay tribute to quirky Swedish car maker Saab. Meanwhile, Richard Hammond races a rocket-powered flying man against a rally-spec Skoda. Plus, current Doctor Who, Matt Smith, is the star in the Reasonably Priced Car."
The Kidnapping of Elizabeth Smart: Hiding in Plain Sight (Part 2),"For nine months, in 2002, 14-year-old Elizabeth Smart is the most famous missing child in America. Kidnapped by Brian David Mitchell, she was forced up into a hiding spot in the mountains behind her home, assaulted and forced to be his second ""wife."" Following the harrowing of her nine month ordeal, including the multiple trips they took to Salt Lake City where she was hidden in plain sight. And the unbelievable end, one of the most incredible kidnapping recoveries in U.S. history."
The Meth Crossroads,Lisa Ling meets the law enforcement teams working to curb the crystal meth epidemic plaguing the people of Oklahoma.
India Special,"The gang embarks on a trade mission to India. Equipped with three old British cars and a range of uniquely British products, they set off on an epic road trip across one of the world's most fascinating and challenging countries."
Western Stars,Live concert performance of Bruce Springsteen singing songs from his album 'Western Stars'.
Mississippi: Is This America?: 1962-1964,"1964 sees the advent of Freedom Summer. Volunteers from across the country travel to the south to register Negro voters. Despite the disappearance of three volunteers in Mississippi who are later found dead, the Mississippi Freedom Democratic Party is formed after blacks are banned from the regular state Democratic. The summer ends with both democratic parties struggling to be recognized at the national convention in Atlantic City."
Episode #23.2,"Join Chris Evans, Matt LeBlanc and the Stig as the world's most popular motoring show returns. This week, Matt, Chris and Eddie Jordan take music stars Sharleen Spiteri, Seasick Steve and Tinie Tempah on the ultimate SUV test in wildest South Africa. Back at the track, Formula One superstar Jenson Button gives Chris a ride in the McLaren 675LT, while actor Damian Lewis is this week's Star in a Rallycross Car."
Atlanta's Olympic Glory,A documentary covering the 1996 Olympic Games in Atlanta.
Glacier Bay: White Thunder,"Jack and Colton experience the awesome power of Mother Nature in Alaska as they kayak with whales and sea otters through Glacier Bay National Park, witness glaciers crashing into the sea and trek to get up close to a mammoth Glacier."
Animal Hospitals,Jungle Jack visits doctors and hospitals that care about animals in all sizes.
Hear and Now,"A documentary memoir following a filmmaker's deaf parents as they receive a complex surgical implant, which allows them to experience sound for the first time."
Ballet 422,"From first rehearsal to world premiere, Ballet 422 takes us backstage at New York City Ballet as emerging choreographer Justin Peck crafts a new work."
One Wheeled Board,"Host Mo Rocca shows us: The inventor of One Wheeled Board. Un-Shrinking your sweaters. The husband and wife designers who changed the world. And, the digital way for doctors to listen to your heart."
Part 5,HD. The fifth installment in the series features more thoughts from kids and scientists about endangered species and their habitats.
The Kitchen Window,A small beach-town community is frightened when a young and beautiful waitress is found stabbed more than 100 times in her apartment.
Mob Stories,"Some old wise guys tell the truth about what the mob meant to them, and how lucky they are to still be here to tell it."
Russia's War on Women,In 2017 Russia decriminalized some forms of domestic violence. Stacey visits Russia to explore the reasons behind the legal change and its impact on women.
Shark Hunting Drones,Host Mo Rocca shows us: How drones are searching for sharks to keep beaches safe. The medicine free pain-relieving device. How collecting water in Africa is less of a pain in the neck. And the battles over famous patents.
Joy Mangano,"Host Mo Rocca shows us: The inventor of a dog toy that's a blast. The woman behind many modern home inventions. How radio signals enabled flying at night. And, the tonsil lighting tongue depressor."
Orphans of Ebola,"Ben Steele's Orphans of Ebola follows Abu, a 12-year-old boy from a Sierra Leone village, who loses eight members of his family and must restart his life elsewhere. Filmed over a period of four months, beginning just after the height of the epidemic in December 2014 through the reopening of the country's schools in April 2015, Abu's story illustrates the incredible bravery of the thousands of children who have been orphaned by Ebola as they reconcile with the past and forge new lives."
Rising Star,"Lincoln is the embodiment of the American dream and the president to whom all others are compared. Although we think we know his story, it's full of surprises and misnomers. Episode 101 builds the man that will eventually become the historical icon and clarifies some generalizations that have ingratiated themselves into his mythology. From his hard scrabble roots on the far edge of the frontier through his courtship of a complicated woman who will later push him to great political heights, episode 101 examines how Lincoln's background shaped his personality, views, and explores some of the lesser known aspects of his life before political stardom."
Episode Two,"As Farrow and Allen ascend the ranks as a Hollywood power couple, their close-knit family is torn apart by a startling revelation about Woody's relationship with Mia's daughter Soon-Yi. Dylan details the abuse allegations that ignited decades of backlash and changed her life forever."
The Life and Death of Anna Nicole Smith,Uncovering how Anna Nicole Smith's lavish lifestyle may have contributed to her mysterious death.
Paradise Lost: The Child Murders at Robin Hood Hills,A horrific triple child murder leads to an indictment and trial of three nonconformist boys based on questionable evidence.
The Second Harvest: 1991-1995,"With the group's dwindling membership compounded by a failed attempt at recruitment, Do begins to plan their exit to the next level."
Inside The Golden State Killer's Mind,"When dealing with a serial rapist and killer, it's not only the crime scenes that are revealing, it's also the serial behaviors that offer clues of the offender's identity. Criminal psychologists show us the hidden meaning behind the Golden State Killer's crimes and reveal what this tells us about him."
Making A Train Out Of A Specially Modified Car And Caravans As Carriages,"The guys attempt to make train travel cheaper, faster and more interesting by replacing the conventional carriages and locomotive with a series of caravans attached to a specially modified car. It's either the world's most ingenious idea or the prelude to the world's biggest accident. Jeremy is also out on the track comparing the rip-snorting Jaguar XKR-S to the recently updated Nissan GT-R."
Spanish Road Trip In Budget Convertibles,"Jeremy Clarkson, Richard Hammond and James May are on a mission to take their strong British pounds to the cash strapped people of Spain. They have chosen some discreet, sensitive cars for the job with Clarkson in a McLaren 12C Spider, Hammond driving a Ferrari 458 Spider and May in an Audi R8 V10 Spyder. Sherlock and Star Trek actor Benedict Cumberbatch is the star in the Reasonably Priced Car."
Murdered Bride,"In 1986, the LAPD arrive at a murder scene. They're certain it's an open and shut case, but the case quickly goes cold. It takes 20 years, and the advent of DNA testing to provide a stunning new lead."
The Atlanta Bomber,"In 1996, a bomb goes off at the Atlanta Olympics killing one and leaving hundreds injured. After a further 5 bombs are detonated, the FBI, ATF and GBI use every tool at their disposal to help bring the bomber to justice."
The Secret Lives of Tigers,"Siberian tigers are the largest of all cats. In historic times, the tiger's range was vast, covering much of Asia. Over the last century, they've experienced an almost total population crash, and at least 97% of those tigers have gone."
Man Vs. Machine,"Learn how web advertising, search engines and 24/7 surveillance have transformed our lives."
The Co-ed Killer Part 2: Thinking Murder All Day Long,"In April 1973, Edmund Kemper, 24, Murders six coeds in and around city of Santa Cruz, California, Shaking the community to its core."
Is It Cool to Be Hip?,"W. Kamau Bell is off to speak to the people of Portland, Oregon where the result of a massive influx of hipsters appears to be gentrification; he inquires as to how this has affected the local neighborhoods."
Montana,"Bourdain visits the Crow reservation, hunts with podcast host Joe Rogan, and eats dinner at Butte institution Lydia's supper club."
Well Groomed,"A year immersed in the visually-stunning and humorous world of competitive creative dog groomers reveals that, no matter where or how, an innate passion for imaginative expression is universal."
The Oslo Diaries,A group of Israelis and Palestinians come together in Oslo for an unsanctioned peace talks during the 1990s in order to bring peace to the Middle East.
The State of the Union Is Not Good,"A raging recession and rising inflation doom Gerald Fords presidency, but Jimmy Carter's following administration suffers through the same economic strife as well as a crippling energy crisis and the Iranian hostage crisis."
The Talking Dead,"An alarming number of bodies are piling up in Dr. Corrine Stern's jurisdiction, and it's her job to figure out who they are and why they've died. She is the lone medical examiner in the border town of Laredo, Texas."
Kebreeya's Salad Days,"A 17-year-old girl crusades to improve nutrition awareness on a personal, familial and community level in her North Carolina hometown in this warmhearted documentary."
Ash Runners,"Learn how animals on New-Britain, off the coast of Papua New Guinea, have learned to live with the Earth's moods."
Capítulo 3,"HD. 'Episode 3.' With both Atletico de Madrid and Gil at their apex, an anonymous tip opens an investigation that lands Gil in prison."
The Pilate Stone,"The archaeological investigation zeroes in on crucial artifacts that connect to Pontius Pilate - the inscription on the Stone that proves his existence, as well as the recent discovery of Herod the Great's Jerusalem Palace, which historians believe is where Pilate tried Jesus. The episode details the life of Pilate before, during and after the trial of Jesus."
3D Printed Body Parts,Host Mo Rocca shows us: The device pulling power from rivers. How scientists are 3D printing human body parts. The history of marketing presidential candidates. And the crazy warm coat filling made from Bison fur.
Jungle Fix,"Lisa goes inside the hidden, mystical world of Ayahuasca, and investigates the popularity of this unregulated form of self-exploration, the power and consequences that can come along with its ingestion."
Episode #1.1,"Viking women commanded ships and settled colonies. They took up arms and negotiated with emperors. Their traces can now be discovered all the way from America to Kiev. This is the story of Sigrun, in Norway, in the year 872."
"Aral, une mer pour du coton","The former Soviet Union collectivized many aspects of agricultural and industrial development in the 1950's. While some efforts were successful, others, like the cotton-growing around the Aral Sea, have proven to be an ecological nightmare."
Woof Washer,"Host Mo Rocca shows us: The dog washing wand invented 20 years ago by a 4th grader, that's a hit today. Advances in Holograms. Cardboard tents cleaning up festivals in Europe. And the car that innovated safety."
Episode 2,"After inflammatory rhetoric emboldens the January 6 insurrection, Spike hears from the New York Representatives who were in or near the U.S. Capitol Building that day. While, the nation's first vaccine recipient provides hope."
What's My Name: Muhammad Ali,"One of the most iconic figures in athletic history, Muhammad Ali's incredible story from world champion boxer to inspiring social activist is explored through his own voice and never-before-seen archival material."
