VALUE,PLOT
Comedy,"[HBO] HD. 'Safety Problems.' (Season Two) Wyatt explores the role of facial-recognition software in surveillance, and more."
Family,"Jungle Jack counts down the mammals, reptiles and birds that have unbelievable changes."
Reality-TV,"Jungle Jack counts down the mammals, reptiles and birds that have unbelievable changes."
Biography,"'About Face' explores beauty and aging through the stories of the original supermodels: women, now between fifty and eighty years old, whose images defined our sense of beauty over the last half-century. Shot in Timothy Greenfield-Sanders' intimate portrait style, participants include Isabella Rossellini, Christie Brinkley, Marisa Berenson, China Machado, Beverly Johnson, Carmen Dell'Orefice, Paulina Porizkova, Jerry Hall, and Christy Turlington among others. They discuss the fashion industry, their careers, aging, plastic surgery, botox, and how they have reassessed and redefined their own sense of beauty as they have aged. Designer Calvin Klein says in the film, 'They had something inside that came through...they had character, they had personality. Those qualities never age'."
Comedy,"'About Face' explores beauty and aging through the stories of the original supermodels: women, now between fifty and eighty years old, whose images defined our sense of beauty over the last half-century. Shot in Timothy Greenfield-Sanders' intimate portrait style, participants include Isabella Rossellini, Christie Brinkley, Marisa Berenson, China Machado, Beverly Johnson, Carmen Dell'Orefice, Paulina Porizkova, Jerry Hall, and Christy Turlington among others. They discuss the fashion industry, their careers, aging, plastic surgery, botox, and how they have reassessed and redefined their own sense of beauty as they have aged. Designer Calvin Klein says in the film, 'They had something inside that came through...they had character, they had personality. Those qualities never age'."
Sport,"As the word gets out about Nazare, the Worlds top surfers begin to arrive for the first official competition. Concerns over safety measures, causes more worries for Garrett."
Crime,Dr. Michael Baden examines four intriguing crimes that were solved with the help of forensic science in this 11th 'Autopsy' film.
Crime,""DC Madam"" Deborah Jean Palfrey threatened to expose names on her client list and was found hanging on her mother's property.
Mystery,""DC Madam"" Deborah Jean Palfrey threatened to expose names on her client list and was found hanging on her mother's property.
Adventure,"Bourdain looks at the country through personal stories, food--and the music of anti-Qaddafi rapper expats who returned to fight."
Adventure,Many endangered species of the islands face the fate of extinction if not for the efforts of the world's leading naturalists fighting to keep their habitat unscathed.
Comedy,"The origins of topical humor are traced, from the invention of the monologue to the ""fake news"" shows of today."
History,"The origins of topical humor are traced, from the invention of the monologue to the ""fake news"" shows of today."
Crime,"In Rio de Janeiro, a city crippled by war between drug gangs and police, fearless photographer Eros Hoagland undertakes a gruesome search for the many bodies hidden in and out of the dangerous slums there."
History,"The second part of this two-part documentary chronicles Russia's interference in the 2016 election explores the origins of the Steele dossier, the negotiations to build Trump Tower in Moscow, and Paul Manafort's secret communications with Russia during the 2016 campaign."
Short,"WKB visits San Quentin, one of the most progressive prisons from a rehabilitation standpoint."
History,"WKB visits San Quentin, one of the most progressive prisons from a rehabilitation standpoint."
Reality-TV,"WKB visits San Quentin, one of the most progressive prisons from a rehabilitation standpoint."
Sport,"WKB visits San Quentin, one of the most progressive prisons from a rehabilitation standpoint."
Crime,"News of the sudden passing of celebrated rock musician Tom Petty shocked fans worldwide, but a deeper look into the music legend's life reveals physical and emotional afflictions that may have led to his death at age 66."
Mystery,"News of the sudden passing of celebrated rock musician Tom Petty shocked fans worldwide, but a deeper look into the music legend's life reveals physical and emotional afflictions that may have led to his death at age 66."
Short,Artist Spencer Tunick photographs a group 85 naked HIV positive people in a public restaurant in recognition of POZ magazine's 10th anniversary.
Adventure,Romesh investigates if the persisting stereotypes about Ethiopia being a third world country plagued by dust bowls and famine are exaggerated.
Comedy,Romesh investigates if the persisting stereotypes about Ethiopia being a third world country plagued by dust bowls and famine are exaggerated.
History,Romesh investigates if the persisting stereotypes about Ethiopia being a third world country plagued by dust bowls and famine are exaggerated.
Family,Come along with Jungle Jack as he counts down the zoological marathon champions as they carry out epic journeys around the world.
Reality-TV,Come along with Jungle Jack as he counts down the zoological marathon champions as they carry out epic journeys around the world.
Family,Jungle Jack counts down adventures about many animals being either herbivores or carnivores.
Reality-TV,Jungle Jack counts down adventures about many animals being either herbivores or carnivores.
Comedy,Exploring the evolution of racial humor; how comedy can cross cultural barriers to unite people.
History,Exploring the evolution of racial humor; how comedy can cross cultural barriers to unite people.
Short,[HBO] HD. This follow-up to 'Afghan Star' returns to see what has become of infamous Afghan talent show contestant Setara.
Biography,[HBO] HD. This follow-up to 'Afghan Star' returns to see what has become of infamous Afghan talent show contestant Setara.
Crime,"Explores the story of a Pentecostal minister, accused of attempting to murder his wife with a rattlesnake. Based on true events!"
Adventure,"A report on an American conservationist who has purchased vast tracts of land in Patagonia, much to the dismay of local developers."
Crime,"The story of the millionaire heir to a vast real estate fortune who has been linked to vast real estate fortune who has been linked to the deaths of his wife, his best friend, and his neighbor."
History,"The story of the millionaire heir to a vast real estate fortune who has been linked to vast real estate fortune who has been linked to the deaths of his wife, his best friend, and his neighbor."
Crime,Gennaro ""Jerry"" Colombo land in the ICU; leading Jerome ""Jerry"" Jacobson To scout for new recruiters; Dwight Baker and others join the operation; the FBI gathers evidence.
History,Gennaro ""Jerry"" Colombo land in the ICU; leading Jerome ""Jerry"" Jacobson To scout for new recruiters; Dwight Baker and others join the operation; the FBI gathers evidence.
Animation,"The decisions of only a handful of individuals determined the course of the nuclear disaster at Chernobyl. What transpired over a few hours would have an impact on the local community, Russia, Europe and the globe."
Family,"The decisions of only a handful of individuals determined the course of the nuclear disaster at Chernobyl. What transpired over a few hours would have an impact on the local community, Russia, Europe and the globe."
History,"The decisions of only a handful of individuals determined the course of the nuclear disaster at Chernobyl. What transpired over a few hours would have an impact on the local community, Russia, Europe and the globe."
Adventure,Tony and his crew get a temperature gauge for what appears to be a changing and complicated Iran.
Crime,"The siege at Waco ended in a fiery hell that killed David Koresh, his followers, his wives and children. TV news crews and demonstrators watched in horror as the ranch went up in flames."
Mystery,"The siege at Waco ended in a fiery hell that killed David Koresh, his followers, his wives and children. TV news crews and demonstrators watched in horror as the ranch went up in flames."
Adventure,"Matt LeBlanc and Chris Harris head to Norway in the latest estate cars from Porsche and Ferrari, while Rory Reid and Sabine Schmitz aim to create Britain's newest mountain with the help of a tiny Suzuki. James Marsden is the studio guest."
Comedy,"Matt LeBlanc and Chris Harris head to Norway in the latest estate cars from Porsche and Ferrari, while Rory Reid and Sabine Schmitz aim to create Britain's newest mountain with the help of a tiny Suzuki. James Marsden is the studio guest."
Reality-TV,"Matt LeBlanc and Chris Harris head to Norway in the latest estate cars from Porsche and Ferrari, while Rory Reid and Sabine Schmitz aim to create Britain's newest mountain with the help of a tiny Suzuki. James Marsden is the studio guest."
Talk-Show,"Matt LeBlanc and Chris Harris head to Norway in the latest estate cars from Porsche and Ferrari, while Rory Reid and Sabine Schmitz aim to create Britain's newest mountain with the help of a tiny Suzuki. James Marsden is the studio guest."
Crime,The summer of 1985 was one of the hottest Los Angeles had seen in a century. But terrified residents weren't sleeping with the windows open; a killer known as the ""Night Stalker"" was on the loose.
History,The summer of 1985 was one of the hottest Los Angeles had seen in a century. But terrified residents weren't sleeping with the windows open; a killer known as the ""Night Stalker"" was on the loose.
Adventure,Bhutan tries to maintain its inner contentment and the title of ""The Happiest Place on Earth.""
Short,W. Kamau Bell talks to people with physical disabilities to see how they are being treated by the system.
History,W. Kamau Bell talks to people with physical disabilities to see how they are being treated by the system.
Reality-TV,W. Kamau Bell talks to people with physical disabilities to see how they are being treated by the system.
Sport,W. Kamau Bell talks to people with physical disabilities to see how they are being treated by the system.
Adventure,"Tony visits the Greek Islands to kick off the new season of Parts Unknown in a region known for its sun, sand, and charming lifestyle, rich in history and known for its infamous healthy diet."
Crime,"A man is found dead in his rural Mississippi home, shot four times with his own 9mm pistol. His 19-year-old son names his hospitalized mother, Michelle Byrom, as the mastermind of the murder, claiming she hired the boy's friend to shoot her husband, and promising to pay him from the life insurance payout. Sentenced to death, Michelle spends 14 years awaiting execution - until a determined team of lawyers unearths a dark history of domestic and sexual violence, and a confession that points to an alternate suspect."
Sport,"Bud Greenspan presents this look at the 2004 Summer Games. Featured athletes include fencer Mariel Zagunis, track's Hicham El Guerrouj, softball's Lisa Fernandez, weightlifter Pyrros Dimas, swimmer Otylia Jedrzejczak and cyclists Anna and Kerrie Mears."
Crime,A serial killer terrorizes a small Texas town.
History,Cinéma vérité feature that follows presidential hopefuls John F. Kennedy and Hubert H. Humphrey during the 1960 Wisconsin primary.
Family,"Host Mo Rocca shows us: The wristbands that are lighting up concerts. Turning corn stalks into clean burning coal. An update on some of our favorite innovations. And, the man you've probably never heard of who helped light the world."
Sport,"Inside the NBA hits the air in 1989 and Ernie Johnson quickly becomes the perfect host who would eventually lead an all-star cast of Kenny Smith, Charles Barkley and Shaquille O'Neal."
Adventure,Tony will explore several regions of the country from the mountains down to the Caribbean coast to the coca leaf growing inlands formerly controlled by drug cartels.
Crime,"As the trial nears, many of the defendants take plea deals, but George Chandler and others decide to fight to prove their innocence; when Jerome ""Jerry"" Jacobson takes the stand, the remaining details of how he pulled off his scheme are disclosed."
History,"As the trial nears, many of the defendants take plea deals, but George Chandler and others decide to fight to prove their innocence; when Jerome ""Jerry"" Jacobson takes the stand, the remaining details of how he pulled off his scheme are disclosed."
Crime,"Who would want to murder the father of beloved superstar Michael Jordan? When in 1993, James Raymond Jordan Sr. goes missing and his luxury car is found stripped and abandoned in North Carolina, clues point to a tragic crime."
Mystery,"Who would want to murder the father of beloved superstar Michael Jordan? When in 1993, James Raymond Jordan Sr. goes missing and his luxury car is found stripped and abandoned in North Carolina, clues point to a tragic crime."
Biography,"An exploration of the life, lessons, and legacy of iconic children's television host Fred Rogers."
Crime,"When single mother and Phoenix bartender Kim Ancona is found brutally stabbed to death, her passing tears her family apart. Combing the crime scene, police find an intriguing clue: bite marks on Kim's body that suggest her attacker has crooked teeth. Detectives turn to Ray Krone, a local mailman with a damaged jaw. A renowned prosecutor pushes for a death sentence, but Ray's family and appeals attorney refuse to give up hope. They win Ray another trial, forcing him to go up against the same bite mark science that put him away the first time. Ultimately, Ray's freedom depends on the emerging science of DNA - and finding Kim's true killer."
History,"A rare look inside the life of Queen Elizabeth II, featuring footage from the Queen's private film archive, as complex preparations for the traditional royal summit with all 53 member states of the British Commonwealth begin."
Adventure,"Clarkson, Hammond and May embark on an epic journey in three used V8 cars to the most southern tip of America."
Comedy,"Clarkson, Hammond and May embark on an epic journey in three used V8 cars to the most southern tip of America."
Reality-TV,"Clarkson, Hammond and May embark on an epic journey in three used V8 cars to the most southern tip of America."
Talk-Show,"Clarkson, Hammond and May embark on an epic journey in three used V8 cars to the most southern tip of America."
Short,"Counselors provide support, guidance and hope to despondent servicemen dealing with emotional, physical and financial troubles."
Crime,"When in 1999, young women mysteriously disappear from Yosemite National Park, investigators determine foul play and a prime suspect emerges, then escapes."
Mystery,"When in 1999, young women mysteriously disappear from Yosemite National Park, investigators determine foul play and a prime suspect emerges, then escapes."
Comedy,"The history of humor in animated cartoons, their writers, directors, animators and voice actors."
History,"The history of humor in animated cartoons, their writers, directors, animators and voice actors."
History,"An in-depth look into Martin Luther King Jr. and his courageous efforts to lead the civil rights movement is explored through interviews and film clips. Freedom Riders, the March on Washington, and Selma to Montgomery are revisited."
Adventure,A visit to the Alps where glaciers are receding to examine what the stakes are if the melting continues.
Short,"Host Jeff Corwin travels to Kodiak Island off the coast of Alaska to witness millions of salmon returning back to the freshwater streams where they were born. Jeff participates in cutting-edge field research on adult salmon and helps scientists as they study the links between salmon and their environment. Jeff also travels into the Alaskan wilderness to explore salmon as a vital food source for Kodiak bears, bald eagles, and people too."
Adventure,"Host Jeff Corwin travels to Kodiak Island off the coast of Alaska to witness millions of salmon returning back to the freshwater streams where they were born. Jeff participates in cutting-edge field research on adult salmon and helps scientists as they study the links between salmon and their environment. Jeff also travels into the Alaskan wilderness to explore salmon as a vital food source for Kodiak bears, bald eagles, and people too."
Family,"Host Jeff Corwin travels to Kodiak Island off the coast of Alaska to witness millions of salmon returning back to the freshwater streams where they were born. Jeff participates in cutting-edge field research on adult salmon and helps scientists as they study the links between salmon and their environment. Jeff also travels into the Alaskan wilderness to explore salmon as a vital food source for Kodiak bears, bald eagles, and people too."
News,"1. Donald Trump, Jr. and Kimberly Guilfoyle at a Ted Cruz rally. 2. The way Trump chooses his cabinet. 3. What it's like to negotiate with Trump. 4. Poll on women popularity versus Trump. 5. Trump interview. Trump tells his sharpie story."
Talk-Show,"1. Donald Trump, Jr. and Kimberly Guilfoyle at a Ted Cruz rally. 2. The way Trump chooses his cabinet. 3. What it's like to negotiate with Trump. 4. Poll on women popularity versus Trump. 5. Trump interview. Trump tells his sharpie story."
Family,Host Mo Rocca shows us: The robotic football Tackle Dummy that prevents injuries. The Drone Racing League. The Doomsday Seed Vault. And the Flying Schoolgirl who made aviation history.
Crime,"A look inside Rikers Island which is a rather unknown place in New York. Many of the inmates and various people working in the law enforcement field are interviewed. We see aftermath of violence, different units, a drug search in one of the prison units, judge visits etc."
Crime,Filmmaker Rudy Valdez shows the aftermath of his sister Cindy's 15-year sentence for conspiracy charges related to crimes committed by her deceased ex-boyfriend.
History,"Documentary leading up to, during and after the 1968 Summer Olympic Games in Mexico City. Features interviews with athletes, including John Carlos, Tommie Smith and George Foreman, activist Dr. Harry Edwards, journalists and archival footage of the Games and the fallout after the raised fisted gloves by Carlos and Smith."
Sport,"Documentary leading up to, during and after the 1968 Summer Olympic Games in Mexico City. Features interviews with athletes, including John Carlos, Tommie Smith and George Foreman, activist Dr. Harry Edwards, journalists and archival footage of the Games and the fallout after the raised fisted gloves by Carlos and Smith."
Short,"Host Jeff Corwin relives some of his favorite animal moments from the show including an adventure with mighty Humpback Whales, Kodiak Bears, an adorable baby Dolphin, and ancient New England Sturgeon. Jeff's daughter Maya is along for the ride on this trip down memory lane."
Adventure,"Host Jeff Corwin relives some of his favorite animal moments from the show including an adventure with mighty Humpback Whales, Kodiak Bears, an adorable baby Dolphin, and ancient New England Sturgeon. Jeff's daughter Maya is along for the ride on this trip down memory lane."
Family,"Host Jeff Corwin relives some of his favorite animal moments from the show including an adventure with mighty Humpback Whales, Kodiak Bears, an adorable baby Dolphin, and ancient New England Sturgeon. Jeff's daughter Maya is along for the ride on this trip down memory lane."
Family,"Host Mo Rocca shows us: The dog washing wand invented 20 years ago by a 4th grader, that's a hit today. Advances in Holograms. Cardboard tents cleaning up festivals in Europe. And the car that innovated safety."
History,The world was on the brink of war when tensions between the United States and the USSR reached a turning point with the Cuban Missile Crisis in October 62'. The Bay of Pigs and the construction of the Berlin Wall is also reviewed.
News,"The passionate and complex relationship that Americans have with their dogs. From a Florida couple who spend hundreds of thousands to clone a beloved dog, to rescuers who find homes for abandoned dogs in rural shelters in Tennessee and Alabama where hundreds of thousands are destroyed each year - many in gas chambers. A look at how far some dog lovers will go for the animals they revere and how far they will go as a nation to treat their companion animals humanely."
Adventure,"To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum."
Comedy,"To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum."
Music,"To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum."
Musical,"To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum."
Biography,"From running the country to skydiving, this endearing and enlightening portrait explores the life and careers of George H.W. Bush, the 41st President of the United States."
Adventure,"A quick overview of the sights, sounds, smells and tastes of the Sultanate of Oman, a former empire of the Indian Ocean, located on the Arabian peninsula, with an open attitude towards the world, and stunning, diverse scenery."
Crime,"Beautiful Georgina Symonds knows how to bend men to her will, then she goes missing, and police discover she has pushed one man too far with fatal results."
Adventure,"Bourdain visits the Crow reservation, hunts with podcast host Joe Rogan, and eats dinner at Butte institution Lydia's supper club."
News,"1. Mayor Pete Buttigieg / an interview 2. Look, no hands / an interview with General Motors CEO 3. The tortured chamber / House Democrats and impeachment. 4. LEGO dreams / sustainable by 2030? 5. Go big or go home /"
Talk-Show,"1. Mayor Pete Buttigieg / an interview 2. Look, no hands / an interview with General Motors CEO 3. The tortured chamber / House Democrats and impeachment. 4. LEGO dreams / sustainable by 2030? 5. Go big or go home /"
Adventure,"Bourdain's trip to meat-centric Buenos Aires features a meal at famous local spot, Don Carlito's, and an after-hours soccer match."
Crime,"Newlywed Sherri Rasmussen is found murdered in her Southern California home. For more than two decades, homicide detectives assumed Sherri was killed in a botched robbery, but newly-discovered DNA evidence points to a shocking conclusion."
Family,Jungle Jack counts down his most unbelievable big fish stories from beneath the waters.
Reality-TV,Jungle Jack counts down his most unbelievable big fish stories from beneath the waters.
Family,Host Mo Rocca shows us: The newest tech keeping us safe from tornadoes. The smartest cooking pans. The invention of the first music synthesizer. And the battery that will last forever.
Drama,"Due to inadequate use of anesthetics, a young boy experiences ""intra-operative awareness"" during his own heart surgery, hearing every sound and movement of the procedure. The little boy is severely traumatized from this horrific accident. As a result, he ends up brutally murdering a young girl soon after the incident..."
Thriller,"Due to inadequate use of anesthetics, a young boy experiences ""intra-operative awareness"" during his own heart surgery, hearing every sound and movement of the procedure. The little boy is severely traumatized from this horrific accident. As a result, he ends up brutally murdering a young girl soon after the incident..."
Music,"Fandango at the Wall follows Afro Latin Jazz Orchestra founder/conductor Arturo O'Farrill to the remotest regions of Veracruz, Mexico, where he meets and jams with the masters of son jarocho. Son jarocho is 300-year-old folk music rooted in the land that combines African, Indigenous and Spanish traditions. After Arturo's inspiring journey to a place where time seems to stands still, he and his orchestra join the masters of son jarocho at the border between the United States and Mexico for a son jarocho music and dance festival called Fandango Fronterizo (founded by Jorge Francisco Castillo). The festival takes place simultaneously on both sides of the United States/Mexican border transforming this object that divides to one that unites. With a poetic musical approach inspired by the son jarocho tradition, Fandango at the Wall reveals a Mexico seldom depicted, and delves into the current mass human migrations spurred by violence, poverty, and corruption."
Sport,Award-winning sports chronicler Bud Greenspan delivers a powerful and emotional look at six individual stories in the official film of the 2002 Olympic Winter Games in Salt Lake City. Greenspan goes beyond highlight footage to tell the story of how these athletes overcome incredible obstacles to achieve Olympic glory.
History,A documentary about World War I with never-before-seen footage to commemorate the centennial of the end of the war.
War,A documentary about World War I with never-before-seen footage to commemorate the centennial of the end of the war.
Adventure,"Bourdain examines the meeting point of Asian, Mexican, Latino culture in modern LA."
Crime,"What appears to be a fatal car crash in Wright County, Missouri turns out to be more sinister than police anticipated when the victim is found with two gunshot wounds to the head."
Adventure,"Anthony Bourdain explores Shanghai by savoring classic, home-style cuisine at restaurants that include Chun and Fuchun Xiaolong and converses with locals who give their take on their country's booming economy and expanding global influence."
Crime,Teen Michelle Carter's actions shocked a nation - but what really happened behind closed doors? This HBO special showcases the prosecution's point of view and alternately the defense's. Which side do you fall on?
Short,"A terrifying origin story of the pandemic, DIAMOND PRINCESS chronicles the first and largest outbreak of the novel coronavirus outside China: the Diamond Princess cruise liner. Through never-before-seen footage from passengers and crew, we watch class divisions erupt as humanity misses its chance to contain Covid-19."
Crime,"On the night of December 30, 1999 a fire rips through the Freeman family home. Four people are in the house that night, but only two bodies are found. Investigators discover that there's much more to the story than they first thought."
Drama,"On the night of December 30, 1999 a fire rips through the Freeman family home. Four people are in the house that night, but only two bodies are found. Investigators discover that there's much more to the story than they first thought."
Crime,"David Kaczynski, the brother of convicted Unabomber Ted Kaczynski, discusses the hunt that led to the capture of his infamous sibling."
Mystery,"David Kaczynski, the brother of convicted Unabomber Ted Kaczynski, discusses the hunt that led to the capture of his infamous sibling."
Adventure,"Freddie Flintoff, Chris Harris and Paddy McGuinness return with a new drive-in studio. They also visit Paddy's home town of Bolton to test three new company cars by spending 24 hours in them - with no getting out. And Chris heads to Italy to test the blistering Ferrari SF90 supercar."
Comedy,"Freddie Flintoff, Chris Harris and Paddy McGuinness return with a new drive-in studio. They also visit Paddy's home town of Bolton to test three new company cars by spending 24 hours in them - with no getting out. And Chris heads to Italy to test the blistering Ferrari SF90 supercar."
Reality-TV,"Freddie Flintoff, Chris Harris and Paddy McGuinness return with a new drive-in studio. They also visit Paddy's home town of Bolton to test three new company cars by spending 24 hours in them - with no getting out. And Chris heads to Italy to test the blistering Ferrari SF90 supercar."
Talk-Show,"Freddie Flintoff, Chris Harris and Paddy McGuinness return with a new drive-in studio. They also visit Paddy's home town of Bolton to test three new company cars by spending 24 hours in them - with no getting out. And Chris heads to Italy to test the blistering Ferrari SF90 supercar."
Crime,"The chilling account of a man who survived his encounter with the notorious serial killer, who managed to evade police scrutiny for years."
Mystery,"The chilling account of a man who survived his encounter with the notorious serial killer, who managed to evade police scrutiny for years."
Short,Kamau goes to the heart of Chicago gang territory to explore the truth about violence in the city.
History,Kamau goes to the heart of Chicago gang territory to explore the truth about violence in the city.
Reality-TV,Kamau goes to the heart of Chicago gang territory to explore the truth about violence in the city.
Sport,Kamau goes to the heart of Chicago gang territory to explore the truth about violence in the city.
Sport,"The final Olympics documentary produced by legendary filmmaker Bud Greenspan before his death at age 84 is this typically riveting, emotionally involving portrait of athletes competing at the 2010 Winter Games in Vancouver, British Columbia."
Adventure,"Richard travels to Texas to learn about NASCAR racing, where he interviews several and rides with a NASCAR racing driver. Jeremy reviews the Mercedes-Benz SLS AMG Roadster. Jeremy and James travel to Beijing, China to look at their expanding copy-car-industry. The Star in Reasonably Priced Car is Matt LeBlanc."
Comedy,"Richard travels to Texas to learn about NASCAR racing, where he interviews several and rides with a NASCAR racing driver. Jeremy reviews the Mercedes-Benz SLS AMG Roadster. Jeremy and James travel to Beijing, China to look at their expanding copy-car-industry. The Star in Reasonably Priced Car is Matt LeBlanc."
Reality-TV,"Richard travels to Texas to learn about NASCAR racing, where he interviews several and rides with a NASCAR racing driver. Jeremy reviews the Mercedes-Benz SLS AMG Roadster. Jeremy and James travel to Beijing, China to look at their expanding copy-car-industry. The Star in Reasonably Priced Car is Matt LeBlanc."
Talk-Show,"Richard travels to Texas to learn about NASCAR racing, where he interviews several and rides with a NASCAR racing driver. Jeremy reviews the Mercedes-Benz SLS AMG Roadster. Jeremy and James travel to Beijing, China to look at their expanding copy-car-industry. The Star in Reasonably Priced Car is Matt LeBlanc."
Short,"W. Kamau Bell speaks with Vanessa Minton, a gig worker in Austin, Texas, on what life has been like during the pandemic. Across the United States, the fastest-growing category of new jobs is gig work, spurred on by tech companies and their never-ending stream of apps; low and uncertain incomes have replaced benefits."
History,"W. Kamau Bell speaks with Vanessa Minton, a gig worker in Austin, Texas, on what life has been like during the pandemic. Across the United States, the fastest-growing category of new jobs is gig work, spurred on by tech companies and their never-ending stream of apps; low and uncertain incomes have replaced benefits."
Reality-TV,"W. Kamau Bell speaks with Vanessa Minton, a gig worker in Austin, Texas, on what life has been like during the pandemic. Across the United States, the fastest-growing category of new jobs is gig work, spurred on by tech companies and their never-ending stream of apps; low and uncertain incomes have replaced benefits."
Sport,"W. Kamau Bell speaks with Vanessa Minton, a gig worker in Austin, Texas, on what life has been like during the pandemic. Across the United States, the fastest-growing category of new jobs is gig work, spurred on by tech companies and their never-ending stream of apps; low and uncertain incomes have replaced benefits."
History,"The story of two of the earliest LGBT organizations, Mattachine Society and Daughters of Bilitis. Focusing on founding Mattachines Harry Hay and Dale Jennings and DOB's Del Martin and Phyllis Lyon, along with early member Barbara Gittings."
Family,"Host Mo Rocca shows us: The jet ski that is also a submarine. The bike lock that smells like it could end thefts. The historic land speed record holding car. And, the bendable glass in your future."
Animation,"How did humanity's earliest ancestors evolve into one of the most successful species on Earth? An extraordinary journey tracing the footsteps of early hominids. Using the latest paleoanthropological findings mixed with the latest CGI from Square Enix, this story is finally told."
Music,A documentary that chronicles Jennifer Lopez's life on and off-stage during her first ever world tour.
Family,"Host Mo Rocca shows us: The company turning a wall into a video waterfall. The inventions that have sprung from NASA's Jet Propulsion Laboratory. The bike that you walk on. And, alternative engines for cars."
Crime,"Crimes of the Century examines the 2002 case of John Allen Muhammad and Lee Boyd Malvo. The two snipers terrorize the residents of Washington, D.C. and its suburbs by randomly targeting and gunning down ordinary citizens in common public areas."
Crime,"The case of James Duckett, who was convicted of the 1987 rape and murder of an 11-year--old girl, is examined."
Crime,"After a Delaware store clerk is murdered, a local drug dealer confesses to the crime..but can what he says on tape be believed?"
Drama,"A coach faces a backlash after an embarrassing season opener, and players get a major boost both on and off the field."
Sport,"A coach faces a backlash after an embarrassing season opener, and players get a major boost both on and off the field."
